"z_out","lambda4","lambda5","bulk_edge","gap_ratio","gap_sd","plateau_width","plateau_sd","nmi4","nmi4_sd","nmi16","nmi16_sd"
1,1.32537356170843,4.41298781994459,9.02078238127411,3.34365719243239,0.405528724000456,0.31304347826087,0.0521739130434784,1,0,0.993299897800963,0.0116049174246361
2,2.56884147409853,5.08380164913179,8.8639786663905,1.98435276289044,0.148423700170897,0.0521739130434783,0.0521739130434783,1,0,0.981335116861989,0.0187476672175955
3,3.81270482286636,5.38822829047192,8.57651347761763,1.42267846709522,0.135636766430751,0,0,1,0,0.972815225761871,0.0150417819987187
4,4.88591297164735,5.72738830878855,7.69811568894036,1.17786240964082,0.106498547507101,0,0,0.950030749394906,0.0865492808641656,0.960344425512633,0.0223144794473929
5,5.79821917251687,6.30356250498772,8.06269859511631,1.08696055277945,0.025967138211668,0,0,0.749730733496767,0.15718201686734,0.884540861020874,0.0464570606216215
6,6.59753983243169,7.00777142019401,7.72915102476997,1.06227021094449,0.00565665554937107,0,0,0.360250754925965,0.186186665226466,0.793184551033704,0.0348326656954742
7,7.1237166467793,7.3360728537991,7.97182972196113,1.02990827564363,0.0138090650634728,0,0,0.103547017062982,0.0188828055542171,0.583180806518722,0.08733044440604
8,7.53777534161221,7.79493388258686,7.0785748783746,1.03437559025137,0.00976170551540908,0,0,0.0509519110630257,0.00618201593434714,0.366875951962644,0.0834008140673503
9,7.80184749653267,8.06054831265004,6.51469236950264,1.03352436175538,0.029855324445463,0,0,0.0424406434243497,0.00969192483559484,0.248953498318332,0.0149419101025357
10,7.57681438224521,7.79473519131697,6.80514827397264,1.02859596097022,0.00836658656106676,0,0,0.0255798106552321,0.00344303783962723,0.210771138791522,0.00802822204803656
11,8.0842833529281,8.46768208416193,6.52341814762206,1.04804296828856,0.0211595340207606,0,0,0.0271554067242167,0.00703077420586095,0.182736203167685,0.0134279275675647
12,7.03140973626797,7.52566111535911,6.02060345399721,1.06929540297899,0.0632548531627968,0.0173913043478261,0.0301226227403283,0.0249138046852296,0.00394307057125381,0.146357324575778,0.0128201933111421
13,7.87937486926652,8.06557968913334,6.83176903677848,1.02342094290393,0.013975116474729,0,0,0.027224562333086,0.00572818087289857,0.143905112646822,0.0140687659585848
14,7.79754413828127,8.33072351993475,7.12387183441805,1.06990296407796,0.0286535569806117,0,0,0.0236914375572619,0.00221842573909792,0.154999925833647,0.0117594465602016
