"node","community_16","community_4","degree"
1,1,1,19
2,1,1,21
3,1,1,20
4,1,1,66
5,1,1,25
6,1,1,23
7,1,1,21
8,1,1,26
9,1,1,21
10,1,1,21
11,1,1,17
12,1,1,22
13,1,1,20
14,1,1,18
15,1,1,16
16,1,1,17
17,2,1,21
18,2,1,16
19,2,1,24
20,2,1,24
21,2,1,19
22,2,1,19
23,2,1,21
24,2,1,20
25,2,1,22
26,2,1,23
27,2,1,18
28,2,1,22
29,2,1,20
30,2,1,21
31,2,1,23
32,2,1,19
33,3,1,20
34,3,1,23
35,3,1,20
36,3,1,19
37,3,1,17
38,3,1,22
39,3,1,25
40,3,1,21
41,3,1,21
42,3,1,19
43,3,1,17
44,3,1,20
45,3,1,15
46,3,1,18
47,3,1,21
48,3,1,20
49,4,1,22
50,4,1,18
51,4,1,18
52,4,1,71
53,4,1,18
54,4,1,20
55,4,1,20
56,4,1,15
57,4,1,19
58,4,1,17
59,4,1,25
60,4,1,23
61,4,1,15
62,4,1,18
63,4,1,18
64,4,1,15
65,5,2,19
66,5,2,22
67,5,2,25
68,5,2,16
69,5,2,18
70,5,2,18
71,5,2,18
72,5,2,17
73,5,2,21
74,5,2,19
75,5,2,16
76,5,2,72
77,5,2,19
78,5,2,17
79,5,2,22
80,5,2,25
81,6,2,14
82,6,2,19
83,6,2,21
84,6,2,18
85,6,2,19
86,6,2,18
87,6,2,22
88,6,2,18
89,6,2,16
90,6,2,21
91,6,2,21
92,6,2,15
93,6,2,16
94,6,2,25
95,6,2,21
96,6,2,15
97,7,2,66
98,7,2,19
99,7,2,21
100,7,2,19
101,7,2,20
102,7,2,21
103,7,2,16
104,7,2,16
105,7,2,15
106,7,2,19
107,7,2,19
108,7,2,23
109,7,2,22
110,7,2,20
111,7,2,25
112,7,2,20
113,8,2,22
114,8,2,16
115,8,2,12
116,8,2,20
117,8,2,15
118,8,2,26
119,8,2,16
120,8,2,20
121,8,2,19
122,8,2,17
123,8,2,21
124,8,2,22
125,8,2,20
126,8,2,19
127,8,2,16
128,8,2,13
129,9,3,18
130,9,3,21
131,9,3,17
132,9,3,15
133,9,3,19
134,9,3,25
135,9,3,23
136,9,3,21
137,9,3,17
138,9,3,20
139,9,3,19
140,9,3,18
141,9,3,21
142,9,3,20
143,9,3,17
144,9,3,16
145,10,3,19
146,10,3,20
147,10,3,21
148,10,3,24
149,10,3,20
150,10,3,25
151,10,3,13
152,10,3,23
153,10,3,15
154,10,3,16
155,10,3,22
156,10,3,22
157,10,3,20
158,10,3,17
159,10,3,17
160,10,3,17
161,11,3,20
162,11,3,24
163,11,3,22
164,11,3,65
165,11,3,18
166,11,3,18
167,11,3,17
168,11,3,14
169,11,3,21
170,11,3,18
171,11,3,20
172,11,3,20
173,11,3,15
174,11,3,21
175,11,3,22
176,11,3,15
177,12,3,22
178,12,3,16
179,12,3,23
180,12,3,18
181,12,3,21
182,12,3,22
183,12,3,20
184,12,3,16
185,12,3,24
186,12,3,16
187,12,3,17
188,12,3,16
189,12,3,20
190,12,3,22
191,12,3,66
192,12,3,19
193,13,4,18
194,13,4,16
195,13,4,17
196,13,4,20
197,13,4,28
198,13,4,18
199,13,4,22
200,13,4,19
201,13,4,23
202,13,4,16
203,13,4,15
204,13,4,20
205,13,4,19
206,13,4,19
207,13,4,22
208,13,4,21
209,14,4,21
210,14,4,18
211,14,4,21
212,14,4,20
213,14,4,24
214,14,4,23
215,14,4,20
216,14,4,20
217,14,4,15
218,14,4,14
219,14,4,21
220,14,4,24
221,14,4,15
222,14,4,15
223,14,4,20
224,14,4,23
225,15,4,20
226,15,4,71
227,15,4,13
228,15,4,22
229,15,4,19
230,15,4,66
231,15,4,17
232,15,4,16
233,15,4,19
234,15,4,20
235,15,4,15
236,15,4,23
237,15,4,16
238,15,4,15
239,15,4,16
240,15,4,25
241,16,4,16
242,16,4,21
243,16,4,14
244,16,4,22
245,16,4,18
246,16,4,22
247,16,4,15
248,16,4,17
249,16,4,17
250,16,4,20
251,16,4,21
252,16,4,21
253,16,4,18
254,16,4,22
255,16,4,23
256,16,4,20
