"node","community_16","community_4","degree"
1,1,1,18
2,1,1,19
3,1,1,19
4,1,1,17
5,1,1,23
6,1,1,21
7,1,1,20
8,1,1,21
9,1,1,19
10,1,1,20
11,1,1,16
12,1,1,20
13,1,1,18
14,1,1,16
15,1,1,15
16,1,1,16
17,2,1,19
18,2,1,15
19,2,1,22
20,2,1,21
21,2,1,18
22,2,1,17
23,2,1,20
24,2,1,20
25,2,1,21
26,2,1,21
27,2,1,17
28,2,1,20
29,2,1,18
30,2,1,19
31,2,1,21
32,2,1,17
33,3,1,19
34,3,1,22
35,3,1,15
36,3,1,18
37,3,1,17
38,3,1,19
39,3,1,24
40,3,1,20
41,3,1,19
42,3,1,18
43,3,1,16
44,3,1,19
45,3,1,15
46,3,1,17
47,3,1,19
48,3,1,19
49,4,1,21
50,4,1,17
51,4,1,16
52,4,1,23
53,4,1,14
54,4,1,20
55,4,1,19
56,4,1,15
57,4,1,16
58,4,1,15
59,4,1,23
60,4,1,20
61,4,1,15
62,4,1,16
63,4,1,16
64,4,1,15
65,5,2,18
66,5,2,19
67,5,2,24
68,5,2,15
69,5,2,18
70,5,2,18
71,5,2,14
72,5,2,17
73,5,2,19
74,5,2,19
75,5,2,14
76,5,2,22
77,5,2,18
78,5,2,16
79,5,2,20
80,5,2,21
81,6,2,13
82,6,2,17
83,6,2,21
84,6,2,17
85,6,2,18
86,6,2,18
87,6,2,18
88,6,2,16
89,6,2,15
90,6,2,20
91,6,2,16
92,6,2,15
93,6,2,16
94,6,2,23
95,6,2,20
96,6,2,15
97,7,2,17
98,7,2,19
99,7,2,20
100,7,2,15
101,7,2,17
102,7,2,20
103,7,2,14
104,7,2,15
105,7,2,14
106,7,2,18
107,7,2,19
108,7,2,20
109,7,2,21
110,7,2,18
111,7,2,24
112,7,2,20
113,8,2,22
114,8,2,14
115,8,2,11
116,8,2,19
117,8,2,15
118,8,2,24
119,8,2,16
120,8,2,18
121,8,2,19
122,8,2,15
123,8,2,20
124,8,2,21
125,8,2,19
126,8,2,18
127,8,2,15
128,8,2,12
129,9,3,15
130,9,3,19
131,9,3,15
132,9,3,14
133,9,3,17
134,9,3,23
135,9,3,21
136,9,3,20
137,9,3,15
138,9,3,18
139,9,3,18
140,9,3,17
141,9,3,20
142,9,3,18
143,9,3,16
144,9,3,16
145,10,3,17
146,10,3,18
147,10,3,19
148,10,3,23
149,10,3,19
150,10,3,20
151,10,3,13
152,10,3,21
153,10,3,14
154,10,3,15
155,10,3,21
156,10,3,20
157,10,3,19
158,10,3,16
159,10,3,17
160,10,3,17
161,11,3,19
162,11,3,20
163,11,3,18
164,11,3,18
165,11,3,17
166,11,3,17
167,11,3,16
168,11,3,13
169,11,3,18
170,11,3,18
171,11,3,18
172,11,3,17
173,11,3,15
174,11,3,19
175,11,3,21
176,11,3,12
177,12,3,21
178,12,3,14
179,12,3,22
180,12,3,16
181,12,3,18
182,12,3,20
183,12,3,17
184,12,3,15
185,12,3,24
186,12,3,16
187,12,3,15
188,12,3,16
189,12,3,18
190,12,3,20
191,12,3,19
192,12,3,19
193,13,4,14
194,13,4,16
195,13,4,17
196,13,4,18
197,13,4,26
198,13,4,15
199,13,4,21
200,13,4,18
201,13,4,20
202,13,4,16
203,13,4,15
204,13,4,18
205,13,4,16
206,13,4,16
207,13,4,19
208,13,4,19
209,14,4,18
210,14,4,17
211,14,4,20
212,14,4,16
213,14,4,22
214,14,4,21
215,14,4,18
216,14,4,18
217,14,4,15
218,14,4,14
219,14,4,19
220,14,4,21
221,14,4,15
222,14,4,14
223,14,4,18
224,14,4,21
225,15,4,20
226,15,4,21
227,15,4,12
228,15,4,21
229,15,4,16
230,15,4,16
231,15,4,16
232,15,4,16
233,15,4,17
234,15,4,19
235,15,4,14
236,15,4,22
237,15,4,16
238,15,4,14
239,15,4,15
240,15,4,24
241,16,4,16
242,16,4,19
243,16,4,13
244,16,4,20
245,16,4,17
246,16,4,21
247,16,4,15
248,16,4,17
249,16,4,15
250,16,4,19
251,16,4,18
252,16,4,20
253,16,4,18
254,16,4,22
255,16,4,20
256,16,4,19
