"node_from","node_to","weight"
1,2,1
1,3,1
2,3,1
1,4,1
2,4,1
3,4,1
1,5,1
2,5,1
3,5,1
4,5,1
1,6,1
2,6,1
3,6,1
4,6,1
5,6,1
1,7,1
2,7,1
3,7,1
4,7,1
5,7,1
6,7,1
1,8,1
2,8,1
3,8,1
4,8,1
5,8,1
6,8,1
7,8,1
1,9,1
2,9,1
3,9,1
4,9,1
5,9,1
6,9,1
7,9,1
8,9,1
1,10,1
2,10,1
3,10,1
4,10,1
5,10,1
6,10,1
7,10,1
8,10,1
9,10,1
1,11,1
2,11,1
3,11,1
4,11,1
5,11,1
6,11,1
7,11,1
8,11,1
9,11,1
10,11,1
1,12,1
2,12,1
3,12,1
4,12,1
5,12,1
6,12,1
7,12,1
8,12,1
9,12,1
10,12,1
11,12,1
1,13,1
2,13,1
3,13,1
4,13,1
5,13,1
6,13,1
7,13,1
8,13,1
9,13,1
10,13,1
11,13,1
12,13,1
1,14,1
2,14,1
3,14,1
4,14,1
5,14,1
6,14,1
7,14,1
8,14,1
9,14,1
10,14,1
11,14,1
12,14,1
13,14,1
1,15,1
2,15,1
3,15,1
4,15,1
5,15,1
6,15,1
7,15,1
8,15,1
9,15,1
10,15,1
11,15,1
12,15,1
13,15,1
14,15,1
1,16,1
2,16,1
3,16,1
4,16,1
5,16,1
6,16,1
7,16,1
8,16,1
9,16,1
10,16,1
11,16,1
12,16,1
13,16,1
14,16,1
15,16,1
17,18,1
17,19,1
18,19,1
8,20,1
17,20,1
18,20,1
19,20,1
2,21,1
17,21,1
18,21,1
19,21,1
20,21,1
7,22,1
17,22,1
18,22,1
19,22,1
20,22,1
21,22,1
3,23,1
17,23,1
18,23,1
19,23,1
20,23,1
21,23,1
22,23,1
6,24,1
17,24,1
18,24,1
19,24,1
20,24,1
21,24,1
22,24,1
23,24,1
17,25,1
18,25,1
19,25,1
20,25,1
21,25,1
22,25,1
23,25,1
24,25,1
8,26,1
17,26,1
18,26,1
19,26,1
20,26,1
21,26,1
22,26,1
23,26,1
24,26,1
25,26,1
8,27,1
17,27,1
18,27,1
19,27,1
20,27,1
21,27,1
22,27,1
23,27,1
24,27,1
25,27,1
26,27,1
1,28,1
4,28,1
17,28,1
18,28,1
19,28,1
20,28,1
21,28,1
22,28,1
23,28,1
24,28,1
25,28,1
26,28,1
27,28,1
17,29,1
18,29,1
19,29,1
20,29,1
21,29,1
22,29,1
23,29,1
24,29,1
25,29,1
26,29,1
27,29,1
28,29,1
1,30,1
14,30,1
17,30,1
18,30,1
19,30,1
20,30,1
21,30,1
22,30,1
23,30,1
24,30,1
25,30,1
26,30,1
27,30,1
28,30,1
29,30,1
17,31,1
18,31,1
19,31,1
20,31,1
21,31,1
22,31,1
23,31,1
24,31,1
25,31,1
26,31,1
27,31,1
28,31,1
29,31,1
30,31,1
17,32,1
18,32,1
19,32,1
20,32,1
21,32,1
22,32,1
23,32,1
24,32,1
25,32,1
26,32,1
27,32,1
28,32,1
29,32,1
30,32,1
31,32,1
10,33,1
26,33,1
7,34,1
21,34,1
33,34,1
33,35,1
34,35,1
33,36,1
34,36,1
35,36,1
33,37,1
34,37,1
35,37,1
36,37,1
15,38,1
16,38,1
22,38,1
33,38,1
34,38,1
35,38,1
36,38,1
37,38,1
29,39,1
33,39,1
34,39,1
35,39,1
36,39,1
37,39,1
38,39,1
2,40,1
3,40,1
26,40,1
33,40,1
34,40,1
35,40,1
36,40,1
37,40,1
38,40,1
39,40,1
12,41,1
24,41,1
30,41,1
33,41,1
34,41,1
35,41,1
36,41,1
37,41,1
38,41,1
39,41,1
40,41,1
33,42,1
34,42,1
35,42,1
36,42,1
37,42,1
38,42,1
39,42,1
40,42,1
41,42,1
23,43,1
33,43,1
34,43,1
35,43,1
36,43,1
37,43,1
38,43,1
39,43,1
40,43,1
41,43,1
42,43,1
8,44,1
33,44,1
34,44,1
35,44,1
36,44,1
37,44,1
38,44,1
39,44,1
40,44,1
41,44,1
42,44,1
43,44,1
9,45,1
17,45,1
33,45,1
34,45,1
35,45,1
36,45,1
37,45,1
38,45,1
39,45,1
40,45,1
41,45,1
42,45,1
43,45,1
44,45,1
33,46,1
34,46,1
35,46,1
36,46,1
37,46,1
38,46,1
39,46,1
40,46,1
41,46,1
42,46,1
43,46,1
44,46,1
45,46,1
23,47,1
31,47,1
33,47,1
34,47,1
35,47,1
36,47,1
37,47,1
38,47,1
39,47,1
40,47,1
41,47,1
42,47,1
43,47,1
44,47,1
45,47,1
46,47,1
31,48,1
33,48,1
34,48,1
35,48,1
36,48,1
37,48,1
38,48,1
39,48,1
40,48,1
41,48,1
42,48,1
43,48,1
44,48,1
45,48,1
46,48,1
47,48,1
1,49,1
5,49,1
16,49,1
43,49,1
45,49,1
46,49,1
11,50,1
15,50,1
25,50,1
49,50,1
49,51,1
50,51,1
7,52,1
8,52,1
15,52,1
49,52,1
50,52,1
51,52,1
28,53,1
49,53,1
50,53,1
51,53,1
52,53,1
5,54,1
9,54,1
20,54,1
43,54,1
49,54,1
50,54,1
51,54,1
52,54,1
53,54,1
5,55,1
8,55,1
20,55,1
29,55,1
49,55,1
50,55,1
51,55,1
52,55,1
53,55,1
54,55,1
49,56,1
50,56,1
51,56,1
52,56,1
53,56,1
54,56,1
55,56,1
20,57,1
49,57,1
50,57,1
51,57,1
52,57,1
53,57,1
54,57,1
55,57,1
56,57,1
29,58,1
32,58,1
39,58,1
49,58,1
50,58,1
51,58,1
52,58,1
53,58,1
54,58,1
55,58,1
56,58,1
57,58,1
16,59,1
29,59,1
31,59,1
33,59,1
34,59,1
47,59,1
49,59,1
50,59,1
51,59,1
52,59,1
53,59,1
54,59,1
55,59,1
56,59,1
57,59,1
58,59,1
8,60,1
18,60,1
38,60,1
49,60,1
50,60,1
51,60,1
52,60,1
53,60,1
54,60,1
55,60,1
56,60,1
57,60,1
58,60,1
59,60,1
49,61,1
50,61,1
51,61,1
52,61,1
53,61,1
54,61,1
55,61,1
56,61,1
57,61,1
58,61,1
59,61,1
60,61,1
33,62,1
48,62,1
49,62,1
50,62,1
51,62,1
52,62,1
53,62,1
54,62,1
55,62,1
56,62,1
57,62,1
58,62,1
59,62,1
60,62,1
61,62,1
17,63,1
24,63,1
49,63,1
50,63,1
51,63,1
52,63,1
53,63,1
54,63,1
55,63,1
56,63,1
57,63,1
58,63,1
59,63,1
60,63,1
61,63,1
62,63,1
35,64,1
49,64,1
50,64,1
51,64,1
52,64,1
53,64,1
54,64,1
55,64,1
56,64,1
57,64,1
58,64,1
59,64,1
60,64,1
61,64,1
62,64,1
63,64,1
47,65,1
5,66,1
65,66,1
25,67,1
65,67,1
66,67,1
41,68,1
65,68,1
66,68,1
67,68,1
13,69,1
65,69,1
66,69,1
67,69,1
68,69,1
65,70,1
66,70,1
67,70,1
68,70,1
69,70,1
65,71,1
66,71,1
67,71,1
68,71,1
69,71,1
70,71,1
65,72,1
66,72,1
67,72,1
68,72,1
69,72,1
70,72,1
71,72,1
65,73,1
66,73,1
67,73,1
68,73,1
69,73,1
70,73,1
71,73,1
72,73,1
65,74,1
66,74,1
67,74,1
68,74,1
69,74,1
70,74,1
71,74,1
72,74,1
73,74,1
65,75,1
66,75,1
67,75,1
68,75,1
69,75,1
70,75,1
71,75,1
72,75,1
73,75,1
74,75,1
27,76,1
65,76,1
66,76,1
67,76,1
68,76,1
69,76,1
70,76,1
71,76,1
72,76,1
73,76,1
74,76,1
75,76,1
65,77,1
66,77,1
67,77,1
68,77,1
69,77,1
70,77,1
71,77,1
72,77,1
73,77,1
74,77,1
75,77,1
76,77,1
65,78,1
66,78,1
67,78,1
68,78,1
69,78,1
70,78,1
71,78,1
72,78,1
73,78,1
74,78,1
75,78,1
76,78,1
77,78,1
65,79,1
66,79,1
67,79,1
68,79,1
69,79,1
70,79,1
71,79,1
72,79,1
73,79,1
74,79,1
75,79,1
76,79,1
77,79,1
78,79,1
65,80,1
66,80,1
67,80,1
68,80,1
69,80,1
70,80,1
71,80,1
72,80,1
73,80,1
74,80,1
75,80,1
76,80,1
77,80,1
78,80,1
79,80,1
69,81,1
19,82,1
78,82,1
81,82,1
37,83,1
44,83,1
66,83,1
80,83,1
81,83,1
82,83,1
6,84,1
74,84,1
81,84,1
82,84,1
83,84,1
81,85,1
82,85,1
83,85,1
84,85,1
66,86,1
74,86,1
81,86,1
82,86,1
83,86,1
84,86,1
85,86,1
67,87,1
81,87,1
82,87,1
83,87,1
84,87,1
85,87,1
86,87,1
81,88,1
82,88,1
83,88,1
84,88,1
85,88,1
86,88,1
87,88,1
81,89,1
82,89,1
83,89,1
84,89,1
85,89,1
86,89,1
87,89,1
88,89,1
63,90,1
66,90,1
72,90,1
77,90,1
81,90,1
82,90,1
83,90,1
84,90,1
85,90,1
86,90,1
87,90,1
88,90,1
89,90,1
81,91,1
82,91,1
83,91,1
84,91,1
85,91,1
86,91,1
87,91,1
88,91,1
89,91,1
90,91,1
81,92,1
82,92,1
83,92,1
84,92,1
85,92,1
86,92,1
87,92,1
88,92,1
89,92,1
90,92,1
91,92,1
76,93,1
81,93,1
82,93,1
83,93,1
84,93,1
85,93,1
86,93,1
87,93,1
88,93,1
89,93,1
90,93,1
91,93,1
92,93,1
81,94,1
82,94,1
83,94,1
84,94,1
85,94,1
86,94,1
87,94,1
88,94,1
89,94,1
90,94,1
91,94,1
92,94,1
93,94,1
30,95,1
39,95,1
53,95,1
81,95,1
82,95,1
83,95,1
84,95,1
85,95,1
86,95,1
87,95,1
88,95,1
89,95,1
90,95,1
91,95,1
92,95,1
93,95,1
94,95,1
65,96,1
81,96,1
82,96,1
83,96,1
84,96,1
85,96,1
86,96,1
87,96,1
88,96,1
89,96,1
90,96,1
91,96,1
92,96,1
93,96,1
94,96,1
95,96,1
92,98,1
97,98,1
12,99,1
26,99,1
97,99,1
98,99,1
97,100,1
98,100,1
99,100,1
97,101,1
98,101,1
99,101,1
100,101,1
73,102,1
93,102,1
97,102,1
98,102,1
99,102,1
100,102,1
101,102,1
92,103,1
97,103,1
98,103,1
99,103,1
100,103,1
101,103,1
102,103,1
67,104,1
97,104,1
98,104,1
99,104,1
100,104,1
101,104,1
102,104,1
103,104,1
89,105,1
97,105,1
98,105,1
99,105,1
100,105,1
101,105,1
102,105,1
103,105,1
104,105,1
74,106,1
83,106,1
97,106,1
98,106,1
99,106,1
100,106,1
101,106,1
102,106,1
103,106,1
104,106,1
105,106,1
76,107,1
97,107,1
98,107,1
99,107,1
100,107,1
101,107,1
102,107,1
103,107,1
104,107,1
105,107,1
106,107,1
70,108,1
86,108,1
97,108,1
98,108,1
99,108,1
100,108,1
101,108,1
102,108,1
103,108,1
104,108,1
105,108,1
106,108,1
107,108,1
3,109,1
11,109,1
97,109,1
98,109,1
99,109,1
100,109,1
101,109,1
102,109,1
103,109,1
104,109,1
105,109,1
106,109,1
107,109,1
108,109,1
84,110,1
97,110,1
98,110,1
99,110,1
100,110,1
101,110,1
102,110,1
103,110,1
104,110,1
105,110,1
106,110,1
107,110,1
108,110,1
109,110,1
46,111,1
67,111,1
76,111,1
86,111,1
94,111,1
95,111,1
97,111,1
98,111,1
99,111,1
100,111,1
101,111,1
102,111,1
103,111,1
104,111,1
105,111,1
106,111,1
107,111,1
108,111,1
109,111,1
110,111,1
9,112,1
69,112,1
77,112,1
81,112,1
97,112,1
98,112,1
99,112,1
100,112,1
101,112,1
102,112,1
103,112,1
104,112,1
105,112,1
106,112,1
107,112,1
108,112,1
109,112,1
110,112,1
111,112,1
84,113,1
97,113,1
101,113,1
72,114,1
77,114,1
113,114,1
88,115,1
102,115,1
113,115,1
114,115,1
87,116,1
94,116,1
104,116,1
113,116,1
114,116,1
115,116,1
99,117,1
113,117,1
114,117,1
115,117,1
116,117,1
23,118,1
40,118,1
89,118,1
94,118,1
107,118,1
113,118,1
114,118,1
115,118,1
116,118,1
117,118,1
67,119,1
73,119,1
95,119,1
113,119,1
114,119,1
115,119,1
116,119,1
117,119,1
118,119,1
73,120,1
105,120,1
113,120,1
114,120,1
115,120,1
116,120,1
117,120,1
118,120,1
119,120,1
70,121,1
80,121,1
113,121,1
114,121,1
115,121,1
116,121,1
117,121,1
118,121,1
119,121,1
120,121,1
42,122,1
76,122,1
77,122,1
113,122,1
114,122,1
115,122,1
116,122,1
117,122,1
118,122,1
119,122,1
120,122,1
121,122,1
69,123,1
109,123,1
113,123,1
114,123,1
115,123,1
116,123,1
117,123,1
118,123,1
119,123,1
120,123,1
121,123,1
122,123,1
87,124,1
94,124,1
108,124,1
113,124,1
114,124,1
115,124,1
116,124,1
117,124,1
118,124,1
119,124,1
120,124,1
121,124,1
122,124,1
123,124,1
67,125,1
113,125,1
114,125,1
115,125,1
116,125,1
117,125,1
118,125,1
119,125,1
120,125,1
121,125,1
122,125,1
123,125,1
124,125,1
110,126,1
113,126,1
114,126,1
115,126,1
116,126,1
117,126,1
118,126,1
119,126,1
120,126,1
121,126,1
122,126,1
123,126,1
124,126,1
125,126,1
79,127,1
80,127,1
98,127,1
113,127,1
114,127,1
115,127,1
116,127,1
117,127,1
118,127,1
119,127,1
120,127,1
121,127,1
122,127,1
123,127,1
124,127,1
125,127,1
126,127,1
113,128,1
114,128,1
115,128,1
116,128,1
117,128,1
118,128,1
119,128,1
120,128,1
121,128,1
122,128,1
123,128,1
124,128,1
125,128,1
126,128,1
127,128,1
129,130,1
129,131,1
130,131,1
124,132,1
129,132,1
130,132,1
131,132,1
129,133,1
130,133,1
131,133,1
132,133,1
103,134,1
126,134,1
129,134,1
130,134,1
131,134,1
132,134,1
133,134,1
129,135,1
130,135,1
131,135,1
132,135,1
133,135,1
134,135,1
23,136,1
54,136,1
129,136,1
130,136,1
131,136,1
132,136,1
133,136,1
134,136,1
135,136,1
129,137,1
130,137,1
131,137,1
132,137,1
133,137,1
134,137,1
135,137,1
136,137,1
129,138,1
130,138,1
131,138,1
132,138,1
133,138,1
134,138,1
135,138,1
136,138,1
137,138,1
129,139,1
130,139,1
131,139,1
132,139,1
133,139,1
134,139,1
135,139,1
136,139,1
137,139,1
138,139,1
129,140,1
130,140,1
131,140,1
132,140,1
133,140,1
134,140,1
135,140,1
136,140,1
137,140,1
138,140,1
139,140,1
7,141,1
129,141,1
130,141,1
131,141,1
132,141,1
133,141,1
134,141,1
135,141,1
136,141,1
137,141,1
138,141,1
139,141,1
140,141,1
25,142,1
129,142,1
130,142,1
131,142,1
132,142,1
133,142,1
134,142,1
135,142,1
136,142,1
137,142,1
138,142,1
139,142,1
140,142,1
141,142,1
129,143,1
130,143,1
131,143,1
132,143,1
133,143,1
134,143,1
135,143,1
136,143,1
137,143,1
138,143,1
139,143,1
140,143,1
141,143,1
142,143,1
40,144,1
129,144,1
130,144,1
131,144,1
132,144,1
133,144,1
134,144,1
135,144,1
136,144,1
137,144,1
138,144,1
139,144,1
140,144,1
141,144,1
142,144,1
143,144,1
61,145,1
51,146,1
134,146,1
145,146,1
118,147,1
145,147,1
146,147,1
145,148,1
146,148,1
147,148,1
54,149,1
136,149,1
145,149,1
146,149,1
147,149,1
148,149,1
11,150,1
145,150,1
146,150,1
147,150,1
148,150,1
149,150,1
145,151,1
146,151,1
147,151,1
148,151,1
149,151,1
150,151,1
145,152,1
146,152,1
147,152,1
148,152,1
149,152,1
150,152,1
151,152,1
145,153,1
146,153,1
147,153,1
148,153,1
149,153,1
150,153,1
151,153,1
152,153,1
145,154,1
146,154,1
147,154,1
148,154,1
149,154,1
150,154,1
151,154,1
152,154,1
153,154,1
113,155,1
145,155,1
146,155,1
147,155,1
148,155,1
149,155,1
150,155,1
151,155,1
152,155,1
153,155,1
154,155,1
134,156,1
145,156,1
146,156,1
147,156,1
148,156,1
149,156,1
150,156,1
151,156,1
152,156,1
153,156,1
154,156,1
155,156,1
88,157,1
143,157,1
145,157,1
