t	N	S	f197536	f197553	f205457	f205440	f197537
1	40	8	0	0	0	0	0
2	103	18	0	0	0	0	0
3	291	43	0	0	0	0	0
4	669	65	0	0	0	0	0
5	759	57	0	0	0	0	0
6	826	52	0	0	0	0	0
7	834	50	0	0	0	0	0
8	785	57	0	0	0	0	0
9	787	57	0	0	0	0	0
10	771	63	0	0	0	0	0
11	797	57	0	0	0	0	0
12	794	60	0	0	0	0	0
13	798	49	0	0	0	0	0
14	799	48	0	0	0	0	0
15	810	51	0	0	0	0	0
16	800	49	0	0	0	0	0
17	775	43	0	0	0	0	0
18	794	44	0	0	0	0	0
19	797	48	0	0	0	0	0
20	796	49	0	0	0	0	0
21	798	51	0	0	0	0	0
22	776	53	0	0	0	0	0
23	767	58	0	0	0	0	0
24	783	54	0	0	0	0	0
25	795	50	0	0	0	0	0
26	716	57	0	0	0	0	0
27	499	67	0	0	0	0	0
28	481	70	0	0	0	0	0
29	735	93	0	0	0	0	0
30	1796	112	0	0	0	0	0
31	1600	107	0	0	0	0	0
32	935	92	0	0	0	0	0
33	560	63	0	0	0	0	0
34	309	39	0	0	0	0	0
35	187	28	0	0	0	0	0
36	97	22	0	0	0	0	0
37	142	32	0	0	0	0	0
38	212	40	0	0	0	0	0
39	260	51	0	0	0	0	0
40	224	36	0	0	0	0	0
41	317	43	0	0	0	0	0
42	287	37	0	0	0	0	0
43	146	19	0	0	0	0	0
44	109	16	0	0	0	0	0
45	202	32	0	0	0	0	0
46	229	46	0	0	0	0	0
47	380	56	0	0	0	0	0
48	567	65	0	0	0	0	0
49	495	65	0	0	0	0	0
50	314	52	0	0	0	0	0
51	268	38	0	0	0	0	0
52	151	26	0	0	0	0	0
53	175	34	0	0	0	0	0
54	242	39	0	0	0	0	0
55	316	39	0	0	0	0	0
56	301	35	0	0	0	0	0
57	291	31	0	0	0	0	0
58	318	35	0	0	0	0	0
59	288	29	0	0	0	0	0
60	271	29	0	0	0	0	0
61	297	21	0	0	0	0	0
62	297	23	0	0	0	0	0
63	283	22	0	0	0	0	0
64	273	22	0	0	0	0	0
65	265	22	0	0	0	0	0
66	292	24	0	0	0	0	0
67	254	30	0	0	0	0	0
68	270	28	0	0	0	0	0
69	269	25	0	0	0	0	0
70	266	29	0	0	0	0	0
71	309	29	0	0	0	0	0
72	347	36	0	0	0	0	0
73	418	38	0	0	0	0	0
74	888	68	0	0	0	0	0
75	1461	76	0	0	0	0	0
76	1599	80	0	0	0	0	0
77	1631	75	0	0	0	0	0
78	1628	68	0	0	0	0	0
79	1660	63	0	0	0	0	0
80	1686	65	0	0	0	0	0
81	1682	70	0	0	0	0	0
82	1657	67	0	0	0	0	0
83	1666	73	0	0	0	0	0
84	1619	80	0	0	0	0	0
85	1561	72	0	0	0	0	0
86	1511	69	0	0	0	0	0
87	1522	65	0	0	0	0	0
88	1517	71	0	0	0	0	0
89	1513	67	0	0	0	0	0
90	1527	61	0	0	0	0	0
91	1510	68	0	0	0	0	0
